respondent_id,Q1_age,Q2_region,Q3_education,Q4_occupation,Q5_income,Q7_monthly_investment,Q9_time_horizon,Q11_dropout,Q12_loss_reaction,Q13_loss_aversion,Q14_autonomy,Q15_influence,Q19_tax_importance,Q20_app_comfort,Q21_data_sharing,Q23_wtp,Q23_wtp_numeric,Q20_pct_invest,Q24_nps,Q25_adoption_5class,Q25_adoption_3class,Q25_adoption_score,Q9_risk_appetite,goal_retirement,goal_child_edu,goal_home,goal_emergency,goal_tax_saving,goal_wealth,goal_travel,goal_business,goal_debt,inv_fd,inv_mf,inv_equity,inv_ppf_epf,inv_nps,inv_gold,inv_realestate,inv_insurance,inv_crypto,inv_none,plat_zerodha,plat_groww,plat_etmoney,plat_paytmmoney,plat_bankapp,plat_indmoney,plat_kuvera,plat_excel,plat_advisor,plat_none,pain_no_start,pain_confusing,pain_no_time,pain_fear_loss,pain_high_min,pain_no_advice,pain_tax,pain_bad_app,pain_no_trust,switch_better_reco,switch_lower_fees,switch_simpler_ux,switch_more_products,switch_human_advisor,switch_security,switch_loyal,switch_no_platform,feat_goal_planning,feat_ai_reco,feat_tax_tool,feat_one_platform,feat_sip_auto,feat_networth,feat_rebalance,feat_baskets,feat_education,feat_human_advisor,feat_family,feat_insurance,trust_sebi,trust_security,trust_brand,trust_reviews,trust_fees,trust_trial,trust_media
R0015,25-34,Tier-2,Postgraduate,Salaried-Govt,12-25L,5K-15K,15+yr,No value,Buy more,Definitely B,Full delegation,Finfluencer,2,3,Yes-fully,<99,2,5-10%,8,Unlikely to use,Unlikely,19.53,Very Aggressive,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
R0016,25-34,Tier-2,Graduate,Freelancer,12-25L,Nothing,1-3yr,Use it still,Hold,Lean A,Family decides,Parents,5,4,Yes-fully,>499,5,5-10%,10,Definitely will use,Likely,27.38,Aggressive,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
R0017,25-34,Metro,Professional,Salaried-Private,12-25L,Nothing,7-15yr,No value,Check advisor,Definitely B,Full delegation,Financial Advisor,3,4,No-privacy,<499,4,20-30%,10,Definitely will not use,Unlikely,15.96,Aggressive,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
R0018,25-34,Tier-3,Professional,Self-employed,12-25L,1K-5K,3-7yr,Never tried,Check advisor,No preference,Family decides,Finfluencer,1,4,Yes-fully,>499,5,<5%,10,Neutral,Neutral,22.95,Moderate,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
R0019,25-34,Metro,Graduate,Self-employed,6-12L,<1K,7-15yr,No trust,Buy more,No preference,Full delegation,Spouse/Partner,4,5,No-privacy,<499,4,10-20%,10,Definitely will not use,Unlikely,16.64,Aggressive,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
R0020,25-34,Tier-2,Graduate,Salaried-Private,25-50L,5K-15K,7-15yr,Use it still,Buy more,Lean A,Guided,Friends/Colleagues,2,4,Yes-if-regulated,<499,4,10-20%,8,Definitely will use,Likely,30.53,Moderate,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
R0021,35-44,Rural,Graduate,Salaried-Govt,12-25L,1K-5K,1-3yr,Never tried,Sell everything,Lean B,Full delegation,Financial Advisor,5,3,No-privacy,<299,3,10-20%,6,Unlikely to use,Unlikely,18.94,Aggressive,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1
R0022,18-24,Tier-2,Graduate,Student,12-25L,Nothing,3-7yr,Never tried,Hold,Definitely B,Full delegation,Spouse/Partner,5,2,No-privacy,<299,3,10-20%,8,Definitely will not use,Unlikely,13.53,Very Aggressive,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
R0023,25-34,Rural,Postgraduate,Student,25-50L,>50K,3-7yr,Never tried,Buy more,Definitely B,Follow trusted people,Friends/Colleagues,4,3,Yes-if-regulated,>499,5,>30%,9,Unlikely to use,Unlikely,20.0,Aggressive,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
R0024,25-34,Metro,Professional,Salaried-Private,12-25L,Nothing,7-15yr,Tech issues,Sell some,No preference,Full delegation,Myself,5,5,Yes-fully,<299,3,20-30%,10,Definitely will use,Likely,28.55,Moderate,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0
R0025,25-34,Tier-2,Postgraduate,Salaried-Private,6-12L,5K-15K,7-15yr,Never tried,Sell some,Lean B,Follow trusted people,Parents,4,4,No-privacy,<299,3,5-10%,9,Definitely will not use,Unlikely,15.31,Very Aggressive,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
R0026,45-54,Metro,Professional,Salaried-Private,12-25L,1K-5K,1-3yr,No trust,Hold,No preference,Follow trusted people,Spouse/Partner,4,4,Yes-fully,>499,5,10-20%,10,Unlikely to use,Unlikely,19.76,Moderate,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
R0027,25-34,Tier-3,Graduate,Student,>50L,Nothing,7-15yr,No value,Sell everything,Lean A,Family decides,Parents,5,4,Yes-if-regulated,>499,5,>30%,10,Unlikely to use,Unlikely,18.8,Conservative,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
R0028,25-34,Rural,Graduate,Salaried-Private,3-6L,5K-15K,7-15yr,Use it still,Hold,Lean B,Family decides,Spouse/Partner,3,3,Yes-if-regulated,<299,3,5-10%,8,Unlikely to use,Unlikely,19.06,Aggressive,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
R0029,35-44,Metro,Postgraduate,Freelancer,12-25L,5K-15K,3-7yr,Use it still,Sell some,Lean B,Family decides,Friends/Colleagues,3,4,Yes-if-regulated,>499,5,<5%,10,Definitely will use,Likely,25.82,Aggressive,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
R0030,18-24,Tier-2,Graduate,Salaried-Private,6-12L,5K-15K,15+yr,Too complicated,Sell some,Definitely B,Full delegation,Spouse/Partner,5,5,Yes-if-regulated,>499,5,<5%,10,Likely to use,Likely,24.71,Conservative,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0031,35-44,Metro,Postgraduate,Self-employed,12-25L,Nothing,7-15yr,No trust,Buy more,Lean B,Family decides,Friends/Colleagues,1,4,Basic only,<299,3,10-20%,8,Definitely will not use,Unlikely,11.05,Aggressive,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
R0032,18-24,Tier-2,Graduate,Salaried-Govt,6-12L,>50K,1-3yr,Use it still,Hold,Definitely B,Full delegation,Spouse/Partner,3,4,Yes-if-regulated,Maybe,1,5-10%,9,Unlikely to use,Unlikely,18.2,Very Aggressive,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
R0033,18-24,Tier-2,Up to 12th,Student,<3L,1K-5K,1-3yr,Use it still,Hold,Definitely B,Full delegation,Financial Advisor,4,5,Yes-fully,<299,3,<5%,10,Definitely will use,Likely,28.51,Moderate,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
R0034,55+,Rural,Doctorate,Salaried-Private,6-12L,15K-50K,1-3yr,Never tried,Sell everything,Lean B,Guided,Friends/Colleagues,4,2,No-privacy,>499,5,20-30%,8,Unlikely to use,Unlikely,19.22,Conservative,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
R0035,55+,Tier-2,Graduate,Self-employed,12-25L,5K-15K,1-3yr,No value,Sell everything,Definitely A,Follow trusted people,Spouse/Partner,4,2,Yes-fully,<299,3,10-20%,7,Definitely will not use,Unlikely,17.98,Very Conservative,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
R0036,45-54,Metro,Doctorate,Salaried-Private,3-6L,<1K,1-3yr,Never tried,Sell some,No preference,Guided,Finfluencer,5,4,Basic only,>499,5,<5%,10,Definitely will use,Likely,26.09,Moderate,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
R0037,25-34,Metro,Doctorate,Freelancer,6-12L,15K-50K,<1yr,No trust,Hold,Definitely B,Guided,Bank Manager,2,4,No-privacy,<299,3,<5%,7,Definitely will not use,Unlikely,16.56,Aggressive,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
R0038,18-24,Metro,Professional,Student,25-50L,5K-15K,3-7yr,Never tried,Sell some,Definitely B,DIY,Myself,4,5,Yes-if-regulated,>499,5,20-30%,10,Definitely will use,Likely,28.77,Moderate,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
R0039,35-44,Metro,Postgraduate,Salaried-Private,12-25L,5K-15K,7-15yr,Too complicated,Hold,Definitely A,Guided,Myself,3,3,Yes-fully,>499,5,10-20%,10,Unlikely to use,Unlikely,19.19,Very Conservative,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
R0040,25-34,Metro,Postgraduate,Student,>50L,5K-15K,1-3yr,No value,Check advisor,Lean B,Full delegation,Financial Advisor,5,5,Yes-fully,>499,5,20-30%,10,Likely to use,Likely,24.27,Very Aggressive,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0
R0041,18-24,Tier-3,Professional,Self-employed,>50L,>50K,3-7yr,Never tried,Buy more,No preference,DIY,Finfluencer,3,5,Yes-if-regulated,>499,5,20-30%,10,Definitely will use,Likely,27.57,Aggressive,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
R0042,25-34,Tier-2,Graduate,Salaried-Private,3-6L,Nothing,15+yr,Use it still,Sell some,Definitely B,Guided,Friends/Colleagues,4,5,Yes-fully,<99,2,5-10%,9,Definitely will use,Likely,26.89,Aggressive,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
R0043,18-24,Tier-2,Graduate,Salaried-Govt,>50L,Nothing,15+yr,Too complicated,Hold,Lean B,DIY,Parents,5,5,Yes-fully,<99,2,5-10%,9,Likely to use,Likely,25.14,Moderate,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
R0044,45-54,Metro,Postgraduate,Salaried-Private,25-50L,15K-50K,15+yr,Tech issues,Buy more,Lean B,DIY,Friends/Colleagues,4,3,Basic only,<499,4,<5%,9,Unlikely to use,Unlikely,20.88,Aggressive,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
R0045,25-34,Tier-3,Graduate,Freelancer,6-12L,5K-15K,15+yr,No trust,Sell everything,No preference,Family decides,Financial Advisor,4,4,No-privacy,<499,4,10-20%,10,Definitely will not use,Unlikely,15.23,Conservative,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
R0046,35-44,Tier-3,Graduate,Freelancer,3-6L,1K-5K,3-7yr,No trust,Sell some,Lean B,Family decides,Spouse/Partner,4,4,Yes-fully,<499,4,<5%,10,Neutral,Neutral,21.31,Conservative,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
R0047,25-34,Metro,Graduate,Salaried-Private,12-25L,1K-5K,1-3yr,Too complicated,Hold,Lean B,Full delegation,Financial Advisor,4,4,Basic only,<299,3,20-30%,10,Unlikely to use,Unlikely,18.99,Moderate,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
R0048,25-34,Tier-3,Postgraduate,Self-employed,<3L,Nothing,3-7yr,Use it still,Sell some,Definitely A,Guided,Financial Advisor,4,5,Yes-if-regulated,<499,4,10-20%,10,Definitely will use,Likely,26.47,Conservative,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
R0049,35-44,Tier-2,Professional,Student,>50L,>50K,7-15yr,Too complicated,Hold,Lean B,Follow trusted people,Finfluencer,5,3,Basic only,<499,4,20-30%,9,Neutral,Neutral,22.45,Moderate,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
R0050,25-34,Metro,Graduate,Homemaker,3-6L,15K-50K,15+yr,Use it still,Sell some,Lean A,Guided,Spouse/Partner,1,4,Yes-if-regulated,Free only,0,<5%,9,Unlikely to use,Unlikely,19.3,Moderate,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
R0051,55+,Tier-2,Professional,Self-employed,6-12L,5K-15K,1-3yr,Too complicated,Sell some,Lean A,DIY,Friends/Colleagues,4,3,Yes-if-regulated,<299,3,5-10%,9,Unlikely to use,Unlikely,20.26,Very Conservative,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
